n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja
223,"(210.075,210.1]",210.075,210.1,0.025,ppt,3.2332812415799966e-5,0
224,"(210.175,210.2]",210.175,210.2,0.025,ppt,2.1555208277199977e-5,0
225,"(210.275,210.3]",210.275,210.3,0.025,ppt,4.3110416554399954e-5,0
226,"(210.375,210.4]",210.375,210.4,0.025,ppt,2.1555208277199977e-5,0
227,"(210.5,210.525]",210.5,210.525,0.025,ppt,1.0777604138599989e-5,0
228,"(210.575,210.6]",210.575,210.6,0.025,ppt,4.3110416554399954e-5,0
229,"(210.675,210.7]",210.675,210.7,0.025,ppt,3.2332812415799966e-5,0
230,"(210.775,210.8]",210.775,210.8,0.025,ppt,5.388802069299995e-5,0
231,"(210.875,210.9]",210.875,210.9,0.025,ppt,5.388802069299995e-5,0
232,"(210.975,211]",210.975,211,0.025,ppt,4.3110416554399954e-5,0
233,"(211,211.025]",211,211.025,0.025,ppt,1.0777604138599989e-5,0
234,"(211.075,211.1]",211.075,211.1,0.025,ppt,5.388802069299995e-5,0
235,"(211.175,211.2]",211.175,211.2,0.025,ppt,5.388802069299995e-5,0
236,"(211.275,211.3]",211.275,211.3,0.025,ppt,7.544322897019993e-5,0
237,"(211.375,211.4]",211.375,211.4,0.025,ppt,6.466562483159993e-5,0
238,"(211.4,211.425]",211.4,211.425,0.025,ppt,1.0777604138599989e-5,0
239,"(211.475,211.5]",211.475,211.5,0.025,ppt,6.466562483159993e-5,0
240,"(211.5,211.525]",211.5,211.525,0.025,ppt,2.1555208277199977e-5,0
241,"(211.575,211.6]",211.575,211.6,0.025,ppt,1.1855364552459988e-4,0
242,"(211.675,211.7]",211.675,211.7,0.025,ppt,2.1555208277199977e-5,0
243,"(211.775,211.8]",211.775,211.8,0.025,ppt,8.622083310879991e-5,0
244,"(211.875,211.9]",211.875,211.9,0.025,ppt,3.2332812415799966e-5,0
245,"(211.9,211.925]",211.9,211.925,0.025,ppt,3.2332812415799966e-5,0
246,"(211.975,212]",211.975,212,0.025,ppt,7.544322897019993e-5,0
247,"(212,212.025]",212,212.025,0.025,ppt,1.0777604138599989e-5,0
248,"(212.075,212.1]",212.075,212.1,0.025,ppt,6.466562483159993e-5,0
249,"(212.175,212.2]",212.175,212.2,0.025,ppt,5.388802069299995e-5,0
250,"(212.275,212.3]",212.275,212.3,0.025,ppt,9.69984372473999e-5,0
251,"(212.375,212.4]",212.375,212.4,0.025,ppt,7.544322897019993e-5,0
252,"(212.4,212.425]",212.4,212.425,0.025,ppt,2.1555208277199977e-5,0
253,"(212.475,212.5]",212.475,212.5,0.025,ppt,7.544322897019993e-5,0
254,"(212.575,212.6]",212.575,212.6,0.025,ppt,6.466562483159993e-5,0
255,"(212.675,212.7]",212.675,212.7,0.025,ppt,1.6166406207899985e-4,0
256,"(212.775,212.8]",212.775,212.8,0.025,ppt,6.466562483159993e-5,0
257,"(212.875,212.9]",212.875,212.9,0.025,ppt,7.544322897019993e-5,0
258,"(212.975,213]",212.975,213,0.025,ppt,4.3110416554399954e-5,0
259,"(213.075,213.1]",213.075,213.1,0.025,ppt,5.388802069299995e-5,0
260,"(213.175,213.2]",213.175,213.2,0.025,ppt,4.3110416554399954e-5,0
261,"(213.275,213.3]",213.275,213.3,0.025,ppt,1.4010885380179986e-4,0
