n_bin,bin,bin_from,bin_to,bin_size,variable,tmp_avg,tmp_djf,tmp_jja
2,"(-4.45,-4.425]",-4.45,-4.425,0.025,tmp,0,0,3.2332812415799966e-5
3,"(-4.425,-4.4]",-4.425,-4.4,0.025,tmp,0,0,2.1555208277199977e-5
4,"(-4.35,-4.325]",-4.35,-4.325,0.025,tmp,0,0,3.2332812415799966e-5
5,"(-4.325,-4.3]",-4.325,-4.3,0.025,tmp,0,0,2.1555208277199977e-5
6,"(-4.3,-4.275]",-4.3,-4.275,0.025,tmp,0,0,3.2332812415799966e-5
7,"(-4.275,-4.25]",-4.275,-4.25,0.025,tmp,0,0,3.2332812415799966e-5
8,"(-4.25,-4.225]",-4.25,-4.225,0.025,tmp,0,0,2.1555208277199977e-5
11,"(-4.175,-4.15]",-4.175,-4.15,0.025,tmp,0,0,5.388802069299995e-5
12,"(-4.15,-4.125]",-4.15,-4.125,0.025,tmp,0,0,7.544322897019993e-5
14,"(-4.1,-4.075]",-4.1,-4.075,0.025,tmp,0,0,8.622083310879991e-5
15,"(-4.075,-4.05]",-4.075,-4.05,0.025,tmp,0,0,9.69984372473999e-5
16,"(-4.05,-4.025]",-4.05,-4.025,0.025,tmp,0,0,9.69984372473999e-5
18,"(-4,-3.975]",-4,-3.975,0.025,tmp,0,0,8.622083310879991e-5
19,"(-3.975,-3.95]",-3.975,-3.95,0.025,tmp,0,0,1.1855364552459988e-4
20,"(-3.95,-3.925]",-3.95,-3.925,0.025,tmp,0,0,1.1855364552459988e-4
23,"(-3.875,-3.85]",-3.875,-3.85,0.025,tmp,0,0,1.1855364552459988e-4
24,"(-3.85,-3.825]",-3.85,-3.825,0.025,tmp,0,0,9.69984372473999e-5
26,"(-3.8,-3.775]",-3.8,-3.775,0.025,tmp,0,0,1.5088645794039985e-4
27,"(-3.775,-3.75]",-3.775,-3.75,0.025,tmp,0,0,1.5088645794039985e-4
28,"(-3.75,-3.725]",-3.75,-3.725,0.025,tmp,0,0,1.4010885380179986e-4
30,"(-3.7,-3.675]",-3.7,-3.675,0.025,tmp,0,0,1.077760413859999e-4
31,"(-3.675,-3.65]",-3.675,-3.65,0.025,tmp,0,0,1.6166406207899985e-4
32,"(-3.65,-3.625]",-3.65,-3.625,0.025,tmp,0,0,2.155520827719998e-4
34,"(-3.6,-3.575]",-3.6,-3.575,0.025,tmp,0,0,1.4010885380179986e-4
35,"(-3.575,-3.55]",-3.575,-3.55,0.025,tmp,0,0,1.077760413859999e-4
36,"(-3.55,-3.525]",-3.55,-3.525,0.025,tmp,0,0,1.5088645794039985e-4
