n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja,variable_metric,metric
22,"(208.075,208.1]",208.075,208.1,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
23,"(208.175,208.2]",208.175,208.2,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
24,"(208.275,208.3]",208.275,208.3,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
25,"(208.375,208.4]",208.375,208.4,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
26,"(208.4,208.425]",208.4,208.425,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
27,"(208.475,208.5]",208.475,208.5,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
28,"(208.575,208.6]",208.575,208.6,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
29,"(208.675,208.7]",208.675,208.7,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
30,"(208.775,208.8]",208.775,208.8,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
31,"(208.875,208.9]",208.875,208.9,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
32,"(209.075,209.1]",209.075,209.1,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
33,"(209.175,209.2]",209.175,209.2,0.025,ppt,8.622083310879991e-5,0,ppt_djf,djf
34,"(209.275,209.3]",209.275,209.3,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
35,"(209.375,209.4]",209.375,209.4,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
36,"(209.4,209.425]",209.4,209.425,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
37,"(209.475,209.5]",209.475,209.5,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
38,"(209.5,209.525]",209.5,209.525,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
39,"(209.575,209.6]",209.575,209.6,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
40,"(209.675,209.7]",209.675,209.7,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
41,"(209.775,209.8]",209.775,209.8,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
42,"(209.875,209.9]",209.875,209.9,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
43,"(209.975,210]",209.975,210,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
44,"(210.075,210.1]",210.075,210.1,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
45,"(210.175,210.2]",210.175,210.2,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
46,"(210.275,210.3]",210.275,210.3,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
47,"(210.375,210.4]",210.375,210.4,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
48,"(210.5,210.525]",210.5,210.525,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
49,"(210.575,210.6]",210.575,210.6,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
50,"(210.675,210.7]",210.675,210.7,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
51,"(210.775,210.8]",210.775,210.8,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
52,"(210.875,210.9]",210.875,210.9,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
53,"(210.975,211]",210.975,211,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
54,"(211,211.025]",211,211.025,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
55,"(211.075,211.1]",211.075,211.1,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
56,"(211.175,211.2]",211.175,211.2,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
57,"(211.275,211.3]",211.275,211.3,0.025,ppt,7.544322897019993e-5,0,ppt_djf,djf
58,"(211.375,211.4]",211.375,211.4,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
59,"(211.4,211.425]",211.4,211.425,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
60,"(211.475,211.5]",211.475,211.5,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
61,"(211.5,211.525]",211.5,211.525,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
62,"(211.575,211.6]",211.575,211.6,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
63,"(211.675,211.7]",211.675,211.7,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
64,"(211.775,211.8]",211.775,211.8,0.025,ppt,8.622083310879991e-5,0,ppt_djf,djf
65,"(211.875,211.9]",211.875,211.9,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
66,"(211.9,211.925]",211.9,211.925,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
67,"(211.975,212]",211.975,212,0.025,ppt,7.544322897019993e-5,0,ppt_djf,djf
68,"(212,212.025]",212,212.025,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
69,"(212.075,212.1]",212.075,212.1,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
70,"(212.175,212.2]",212.175,212.2,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
71,"(212.275,212.3]",212.275,212.3,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
72,"(212.375,212.4]",212.375,212.4,0.025,ppt,7.544322897019993e-5,0,ppt_djf,djf
73,"(212.4,212.425]",212.4,212.425,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
74,"(212.475,212.5]",212.475,212.5,0.025,ppt,7.544322897019993e-5,0,ppt_djf,djf
75,"(212.575,212.6]",212.575,212.6,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
