n_bin,bin,bin_from,bin_to,bin_size,variable,cwd_avg,variable_metric,metric
191,"(-1150.42,-1150.4]",-1150.42,-1150.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
192,"(-1150.33,-1150.3]",-1150.33,-1150.3,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
193,"(-1150.22,-1150.2]",-1150.22,-1150.2,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
194,"(-1150.12,-1150.1]",-1150.12,-1150.1,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
195,"(-1150.03,-1150]",-1150.03,-1150,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
196,"(-1149.92,-1149.9]",-1149.92,-1149.9,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
197,"(-1149.72,-1149.7]",-1149.72,-1149.7,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
198,"(-1149.62,-1149.6]",-1149.62,-1149.6,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
199,"(-1149.53,-1149.5]",-1149.53,-1149.5,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
200,"(-1149.42,-1149.4]",-1149.42,-1149.4,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
201,"(-1149.33,-1149.3]",-1149.33,-1149.3,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
202,"(-1149.22,-1149.2]",-1149.22,-1149.2,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
203,"(-1149.2,-1149.17]",-1149.2,-1149.17,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
204,"(-1149.12,-1149.1]",-1149.12,-1149.1,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
205,"(-1148.92,-1148.9]",-1148.92,-1148.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
206,"(-1148.83,-1148.8]",-1148.83,-1148.8,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
207,"(-1148.42,-1148.4]",-1148.42,-1148.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
208,"(-1148.33,-1148.3]",-1148.33,-1148.3,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
209,"(-1148.2,-1148.17]",-1148.2,-1148.17,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
210,"(-1148.12,-1148.1]",-1148.12,-1148.1,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
211,"(-1147.92,-1147.9]",-1147.92,-1147.9,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
212,"(-1147.7,-1147.67]",-1147.7,-1147.67,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
213,"(-1147.53,-1147.5]",-1147.53,-1147.5,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
214,"(-1147.42,-1147.4]",-1147.42,-1147.4,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
215,"(-1147.12,-1147.1]",-1147.12,-1147.1,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
216,"(-1146.92,-1146.9]",-1146.92,-1146.9,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
217,"(-1146.83,-1146.8]",-1146.83,-1146.8,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
218,"(-1146.7,-1146.67]",-1146.7,-1146.67,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
219,"(-1146.62,-1146.6]",-1146.62,-1146.6,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
220,"(-1146.53,-1146.5]",-1146.53,-1146.5,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
221,"(-1146.42,-1146.4]",-1146.42,-1146.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
222,"(-1146.33,-1146.3]",-1146.33,-1146.3,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
223,"(-1146.22,-1146.2]",-1146.22,-1146.2,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
224,"(-1146.2,-1146.17]",-1146.2,-1146.17,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
225,"(-1146.12,-1146.1]",-1146.12,-1146.1,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
226,"(-1146.03,-1146]",-1146.03,-1146,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
227,"(-1145.92,-1145.9]",-1145.92,-1145.9,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
228,"(-1145.83,-1145.8]",-1145.83,-1145.8,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
229,"(-1145.42,-1145.4]",-1145.42,-1145.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
230,"(-1145.33,-1145.3]",-1145.33,-1145.3,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
231,"(-1145.2,-1145.17]",-1145.2,-1145.17,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
232,"(-1145.03,-1145]",-1145.03,-1145,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
233,"(-1144.92,-1144.9]",-1144.92,-1144.9,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
234,"(-1144.83,-1144.8]",-1144.83,-1144.8,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
235,"(-1144.7,-1144.67]",-1144.7,-1144.67,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
