n_bin,bin,bin_from,bin_to,bin_size,variable,tmp_avg,tmp_djf,tmp_jja,variable_metric,metric
392,"(5.35,5.375]",5.35,5.375,0.025,tmp,0,0,9.26873955919599e-4,tmp_jja,jja
393,"(5.375,5.4]",5.375,5.4,0.025,tmp,0,0,0.001088538017998599,tmp_jja,jja
394,"(5.4,5.425]",5.4,5.425,0.025,tmp,0,0,0.001142426038691599,tmp_jja,jja
395,"(5.425,5.45]",5.425,5.45,0.025,tmp,0,0,0.0010777604138599989,tmp_jja,jja
396,"(5.45,5.475]",5.45,5.475,0.025,tmp,0,0,0.0012178692676617989,tmp_jja,jja
397,"(5.475,5.5]",5.475,5.5,0.025,tmp,0,0,0.001045427601444199,tmp_jja,jja
398,"(5.5,5.525]",5.5,5.525,0.025,tmp,0,0,0.0011639812469687988,tmp_jja,jja
399,"(5.525,5.55]",5.525,5.55,0.025,tmp,0,0,0.0011100932262757988,tmp_jja,jja
400,"(5.55,5.575]",5.55,5.575,0.025,tmp,0,0,9.160963517809991e-4,tmp_jja,jja
401,"(5.575,5.6]",5.575,5.6,0.025,tmp,0,0,9.592067683353991e-4,tmp_jja,jja
402,"(5.6,5.625]",5.6,5.625,0.025,tmp,0,0,9.91539580751199e-4,tmp_jja,jja
403,"(5.625,5.65]",5.625,5.65,0.025,tmp,0,0,8.622083310879992e-4,tmp_jja,jja
404,"(5.65,5.675]",5.65,5.675,0.025,tmp,0,0,8.945411435037991e-4,tmp_jja,jja
405,"(5.675,5.7]",5.675,5.7,0.025,tmp,0,0,8.622083310879992e-4,tmp_jja,jja
406,"(5.7,5.725]",5.7,5.725,0.025,tmp,0,0,8.190979145335992e-4,tmp_jja,jja
407,"(5.725,5.75]",5.725,5.75,0.025,tmp,0,0,9.48429164196799e-4,tmp_jja,jja
408,"(5.75,5.775]",5.75,5.775,0.025,tmp,0,0,8.190979145335992e-4,tmp_jja,jja
409,"(5.775,5.8]",5.775,5.8,0.025,tmp,0,0,9.592067683353991e-4,tmp_jja,jja
410,"(5.8,5.825]",5.8,5.825,0.025,tmp,0,0,7.867651021177992e-4,tmp_jja,jja
411,"(5.825,5.85]",5.825,5.85,0.025,tmp,0,0,7.005442690089993e-4,tmp_jja,jja
412,"(5.85,5.875]",5.85,5.875,0.025,tmp,0,0,9.592067683353991e-4,tmp_jja,jja
413,"(5.875,5.9]",5.875,5.9,0.025,tmp,0,0,8.190979145335992e-4,tmp_jja,jja
414,"(5.9,5.925]",5.9,5.925,0.025,tmp,0,0,7.544322897019992e-4,tmp_jja,jja
